product_type,series,ai_coprocessor,ai_enabled,audio_feature,color,connectivity,cpu_clock,cpu_model,discount_percent,gpu_model,os,ports,ram,regular_price_sar,release_date,sale_price_sar,screen_refresh_rate_hz,screen_resolution,screen_size_inch,special_features,storage,webcam,weight_kg,product_url
Gaming Desktop CPU,HP OMEN,,,,Black,Wi-Fi/Bluetooth,6.0 GHz,Intel Core i9-14900K (14th Gen),10%,NVIDIA GeForce RTX 4080 Super (16 GB),Windows 11 Home,HDMI/DisplayPort/USB 2.0/USB-C/RJ-45/Audio (In/Out),64 GB RAM,16999.0,,15199.0,,,,,2 TB PCIe NVMe TLC M.2 SSD,,31.87,https://www.jarir.com/sa-en/hp-omen-cpu-635738.html
Gaming Desktop CPU,Asus ROG Republic of Gamers,,,,Extreme Dark Gray,Wi-Fi/Bluetooth,2.1 GHz,Intel Core i7-14700F (14th Gen),18%,NVIDIA GeForce RTX 4070 Dual (12 GB),Windows 11 Home,HDMI/DisplayPort/USB 2.0/USB 3.2/USB-C/PS2/RJ-45/Audio Combo Port,32 GB RAM,8199.0,,6699.0,,,,,1 TB PCIe NVMe M.2 SSD,,21.63,https://www.jarir.com/sa-en/asus-cpu-639469.html
Gaming Laptop,Acer Nitro,,,Built-in Mic/Speakers,Black,Wi-Fi/Bluetooth,3.3 GHz,AMD Ryzen 7-8845HS,30%,NVIDIA GeForce RTX 4050 (6 GB),Windows 11,HDMI 2.1/USB 2.0/USB 3.1/USB-C/RJ-45,16 GB RAM,4999.0,2024,3499.0,FHD-LED Display 165 Hz,1920 X 1080 (WUXGA),"16""",,512 GB NVMe M.2 SSD,HD Webcam,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-v16-laptops-639591.html
Gaming Desktop CPU,Lenovo Legion,,,,Storm Grey,Wi-Fi/Bluetooth,P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,Intel Core i7-14650HX (14th Gen),21%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,DisplayPort/USB 2.0/USB 3.2/USB-C/RJ-45/Audio Combo Port,16 GB RAM,5999.0,,4699.0,,,,,1 TB PCIe NVMe M.2 SSD,,21.64,https://www.jarir.com/sa-en/lenovo-legion-t5-cpu-646841.html
Gaming Laptop,HP OMEN,,,,Shadow Black,Wi-Fi/Bluetooth,4.0 GHz,AMD Ryzen 9-8945HS,6%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,,32 GB RAM,8699.0,2024,8099.0,QHD IPS AG 300N 240 Hz,2304 X 1440 (QHD),"17.3""",,1 TB PCIe Gen4,FHD 1080p with Privacy Shutter,2.95 kg ( 6.50 lb ),https://www.jarir.com/sa-en/hp-omen-laptops-646601.html
Gaming Laptop,MSI GF,,,"2 X 2W Speakers, DTS Audio Processing",Cosmos Grey,Wi-Fi (6E)/Bluetooth (5.3),2.0 GHz,Intel Core i5-12450H (12th Gen),33%,NVIDIA GeForce RTX 2050 (4 GB),Windows 11 Home,HDMI/USB 3.2/USB-C 3.2 (DisplayPort)/RJ-45,8 GB RAM,2999.0,2024,1999.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe PCIe SSD Gen 4x4,HD Webcam,1.86 kg ( 4.10 lb ),https://www.jarir.com/sa-en/msi-thin-15-laptops-634436.html
Gaming Laptop,Asus TUF Gaming,,,"AI Noise Cancelling, Dolby Atmos",Mecha Grey,Wi-Fi (6),3.1 GHz,AMD Ryzen 7-7435HS,11%,NVIDIA GeForce RTX 4050 (6 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/3.5 mm Combo Audio Jack,16 GB RAM,4299.0,2024,3799.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1-Zone RGB,1 TB,720p HD Camera,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/asus-laptops-637820.html
Gaming Laptop,MSI Pulse,Intel AI Boost,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Core Black,Wi-Fi (6E)/Bluetooth (5.3),P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,Intel Core Ultra 9 185H,9%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (DisplayPort),16 GB RAM,5499.0,2024,4999.0,QHD+ 240 Hz Display,2560 X 1600,"16""",,1 TB PCIe NVMe M.2 SSD,HD Webcam,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/msi-pulse-16-laptops-650275.html
Gaming Desktop CPU,HP Victus,,,,Mica Silver Metal,Wi-Fi/Bluetooth,5.4 GHz,Intel Core i7-14700F,9%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,HDMI/USB/USB-C/RJ-45/Audio Combo Port,32 GB RAM,6599.0,,5999.0,,,,,1 TB PCIe NVMe M.2 SSD,,21.4,https://www.jarir.com/sa-en/hp-victus-cpu-635736.html
Gaming Laptop,HP OMEN,,,"Bang & Olufsen Dual Speakers, DTS:X Ultra, HP Audio Boost, Audio Combo Port",Shadow Black,Wi-Fi/Bluetooth,2.3 GHz,Intel Core i7-11800H,36%,NVIDIA GeForce RTX 3060 (6 GB),Windows 10,HDMI/USB 3.1/USB-C/Mini DisplayPort/RJ-45/Audio Combo Port,16 GB RAM,7199.0,2021,4599.0,FHD-WLED IPS 144 Hz Anti-glare Micro Edge Display,1920 X 1080 (FHD),"16.1""",,1 TB PCIe NVMe M.2 SSD,Wide Vision HD Webcam,2.31 kg ( 5.09 lb ),https://www.jarir.com/sa-en/hp-omen-renewed-laptops-644001.html
Gaming Laptop,HP OMEN,,,Bang & Olufsen Dual Speakers,Shadow Black,Wi-Fi/Bluetooth,2.2 GHz,Intel Core i7-8750H,36%,NVIDIA GeForce GTX 1050 (4 GB),Windows 10,HDMI/USB 2.0/USB 3.1/RJ-45,8 GB RAM,4708.43,2018,2999.0,FHD-WLED Anti-glare Display,1920 X 1080 (WUXGA),"15.6""",,16 GB (Optane)/1 TB HDD,True Vision HD Webcam,2.62 kg ( 5.78 lb ),https://www.jarir.com/sa-en/hp-15-dc0001nx-renewed-laptops-522749.html
